Applicant_Name,Gender,State,District,PinCode,GID,Owner,TypeOfConnection,Status,connection_no,connection_date,Connection_Status
Olivia Brown,Male,Kerala,Thiruvananthapuram,631370,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB000910,2026-06-11,RELEASED
Amelia Verma,Female,Andhra Pradesh,Kurnool,667728,VOTER_ID,INDIVIDUAL,Residential,FAILED,EB000911,2026-06-11,PENDING
Emma Thomas,Male,Karnataka,Belagavi,684011,VOTER_ID,INDIVIDUAL,Commercial,CONNECTING,EB000912,2026-06-11,PENDING
Meera Verma,Female,Andhra Pradesh,Guntur,558410,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB000913,2026-06-11,RELEASED
Amelia Singh,Male,Karnataka,Hubballi,634373,VOTER_ID,JOINT,Residential,Connection Released,EB000914,2026-06-11,RELEASED
Ava Johnson,Male,Telangana,Warangal,525601,PAN,INDIVIDUAL,Commercial,Connection Released,EB000915,2026-06-11,RELEASED
Sophia Smith,Male,Kerala,Kozhikode,545005,PAN,JOINT,Residential,Connection Released,EB000916,2026-06-11,RELEASED
Daniel Reddy,Male,Telangana,Karimnagar,600716,PASSPORT,JOINT,Commercial,DISCONNECTED,EB000917,2026-06-11,DISCONNECTED
Sneha Johnson,Male,Andhra Pradesh,Kurnool,603135,VOTER_ID,JOINT,Residential,Connection Released,EB000918,2026-06-11,RELEASED
Amelia Johnson,Male,Kerala,Thiruvananthapuram,631480,PAN,INDIVIDUAL,Commercial,Connection Released,EB000919,2026-06-11,RELEASED
Charlotte Kumar,Male,Karnataka,Mysuru,633523,PASSPORT,INDIVIDUAL,Residential,CONNECTING,EB000920,2026-06-11,PENDING
Rohit Johnson,Female,Kerala,Thrissur,547021,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB000921,2026-06-11,RELEASED
Emma Rajan,Female,Karnataka,Mangaluru,639487,ADHAR,JOINT,Residential,DISCONNECTED,EB000922,2026-06-11,DISCONNECTED
Prakash Nair,Female,Kerala,Kozhikode,594804,ADHAR,INDIVIDUAL,Residential,Connection Released,EB000923,2026-06-11,RELEASED
Joseph Singh,Male,Tamil Nadu,Tirunelveli,550494,ADHAR,INDIVIDUAL,Residential,FAILED,EB000924,2026-06-11,PENDING
Michael Verma,Female,Andhra Pradesh,Vijayawada,521459,PAN,INDIVIDUAL,Commercial,CONNECTING,EB000925,2026-06-11,PENDING
Mia Wilson,Female,Karnataka,Mangaluru,675297,PAN,INDIVIDUAL,Commercial,Connection Released,EB000926,2026-06-11,RELEASED
Michael Johnson,Male,Andhra Pradesh,Guntur,581166,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB000927,2026-06-11,RELEASED
Amit Iyer,Male,Andhra Pradesh,Guntur,628147,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB000928,2026-06-11,RELEASED
Ava Reddy,Female,Karnataka,Hubballi,578628,ADHAR,INDIVIDUAL,Residential,Connection Released,EB000929,2026-06-11,RELEASED
Prakash Thomas,Male,Telangana,Khammam,569194,ADHAR,JOINT,Commercial,DISCONNECTED,EB000930,2026-06-11,DISCONNECTED
Rahul Reddy,Male,Telangana,Nizamabad,583992,ADHAR,JOINT,Residential,CONNECTING,EB000931,2026-06-11,PENDING
Amelia Smith,Male,Karnataka,Hubballi,506793,PAN,JOINT,Residential,Connection Released,EB000932,2026-06-11,RELEASED
Arjun Smith,Female,Telangana,Warangal,582869,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB000933,2026-06-11,RELEASED
William Moore,Female,Kerala,Kozhikode,542430,VOTER_ID,JOINT,Residential,Connection Released,EB000934,2026-06-11,RELEASED
Vikram Nair,Female,Tamil Nadu,Salem,594878,PAN,JOINT,Commercial,Connection Released,EB000935,2026-06-11,RELEASED
Prakash Brown,Female,Karnataka,Hubballi,692533,ADHAR,JOINT,Residential,DISCONNECTED,EB000936,2026-06-11,DISCONNECTED
Naveen Taylor,Male,Karnataka,Bengaluru,647628,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB000937,2026-06-11,RELEASED
Robert Smith,Female,Telangana,Khammam,568812,PASSPORT,JOINT,Residential,Connection Released,EB000938,2026-06-11,RELEASED
Pooja Anderson,Female,Tamil Nadu,Chennai,631652,VOTER_ID,JOINT,Residential,CONNECTING,EB000939,2026-06-11,PENDING
William Verma,Female,Andhra Pradesh,Nellore,530765,ADHAR,INDIVIDUAL,Residential,Connection Released,EB000940,2026-06-11,RELEASED
Amelia Reddy,Female,Karnataka,Mysuru,677693,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB000941,2026-06-11,RELEASED
Prakash Taylor,Male,Kerala,Kochi,695728,VOTER_ID,JOINT,Commercial,Connection Released,EB000942,2026-06-11,RELEASED
Sophia Iyer,Female,Karnataka,Mangaluru,580487,ADHAR,JOINT,Residential,Connection Released,EB000943,2026-06-11,RELEASED
Jack Thomas,Female,Tamil Nadu,Chennai,554822,ADHAR,JOINT,Commercial,Connection Released,EB000944,2026-06-11,RELEASED
Rohit Reddy,Male,Telangana,Khammam,653286,PASSPORT,JOINT,Commercial,CONNECTING,EB000945,2026-06-11,PENDING
John Moore,Female,Telangana,Nizamabad,678270,PAN,JOINT,Commercial,CONNECTING,EB000946,2026-06-11,PENDING
Jack Verma,Female,Kerala,Thrissur,548893,PAN,INDIVIDUAL,Commercial,Connection Released,EB000947,2026-06-11,RELEASED
David Thomas,Male,Telangana,Warangal,651526,ADHAR,INDIVIDUAL,Residential,CONNECTING,EB000948,2026-06-11,PENDING
Naveen Taylor,Female,Telangana,Hyderabad,542580,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB000949,2026-06-11,RELEASED
Evelyn Davis,Male,Karnataka,Mysuru,656580,ADHAR,JOINT,Residential,Connection Released,EB000950,2026-06-11,RELEASED
Ava Kumar,Male,Andhra Pradesh,Guntur,590082,ADHAR,JOINT,Residential,Connection Released,EB000951,2026-06-11,RELEASED
Mia Smith,Female,Telangana,Hyderabad,693786,VOTER_ID,JOINT,Commercial,Connection Released,EB000952,2026-06-11,RELEASED
Thomas Brown,Female,Karnataka,Bengaluru,640011,PAN,JOINT,Commercial,DISCONNECTED,EB000953,2026-06-11,DISCONNECTED
Harper Johnson,Female,Tamil Nadu,Madurai,657981,PASSPORT,JOINT,Commercial,DISCONNECTED,EB000954,2026-06-11,DISCONNECTED
Divya Sharma,Male,Telangana,Hyderabad,509062,PAN,INDIVIDUAL,Commercial,Connection Released,EB000955,2026-06-11,RELEASED
Emma Kumar,Female,Kerala,Kannur,581553,ADHAR,JOINT,Residential,Connection Released,EB000956,2026-06-11,RELEASED
Daniel Verma,Female,Tamil Nadu,Chennai,649670,PASSPORT,JOINT,Commercial,Connection Released,EB000957,2026-06-11,RELEASED
Vikram Brown,Male,Tamil Nadu,Madurai,631823,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB000958,2026-06-11,RELEASED
Amelia Reddy,Male,Karnataka,Mangaluru,625756,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB000959,2026-06-11,RELEASED
Kavya Patel,Male,Andhra Pradesh,Nellore,516819,PAN,JOINT,Residential,Connection Released,EB000960,2026-06-11,RELEASED
Sophia Thomas,Male,Andhra Pradesh,Guntur,692890,ADHAR,JOINT,Residential,Connection Released,EB000961,2026-06-11,RELEASED
Naveen Taylor,Female,Tamil Nadu,Salem,518043,VOTER_ID,JOINT,Commercial,Connection Released,EB000962,2026-06-11,RELEASED
Joseph Davis,Female,Tamil Nadu,Chennai,655805,ADHAR,INDIVIDUAL,Commercial,CONNECTING,EB000963,2026-06-11,PENDING
Amit Patel,Female,Karnataka,Bengaluru,502344,ADHAR,JOINT,Residential,CONNECTING,EB000964,2026-06-11,PENDING
Evelyn Patel,Female,Andhra Pradesh,Nellore,624695,ADHAR,JOINT,Residential,Connection Released,EB000965,2026-06-11,RELEASED
John Johnson,Female,Andhra Pradesh,Kurnool,538228,VOTER_ID,JOINT,Commercial,Connection Released,EB000966,2026-06-11,RELEASED
James Johnson,Female,Tamil Nadu,Coimbatore,570649,PASSPORT,JOINT,Residential,Connection Released,EB000967,2026-06-11,RELEASED
Ava Smith,Female,Kerala,Thrissur,678329,ADHAR,INDIVIDUAL,Residential,Connection Released,EB000968,2026-06-11,RELEASED
Joseph Reddy,Male,Kerala,Kannur,681180,PASSPORT,JOINT,Residential,Connection Released,EB000969,2026-06-11,RELEASED
John Brown,Male,Karnataka,Mangaluru,691812,VOTER_ID,JOINT,Residential,CONNECTING,EB000970,2026-06-11,PENDING
Amit Johnson,Male,Tamil Nadu,Tirunelveli,634138,PAN,INDIVIDUAL,Residential,Connection Released,EB000971,2026-06-11,RELEASED
David Nair,Female,Andhra Pradesh,Kurnool,677304,ADHAR,JOINT,Commercial,DISCONNECTED,EB000972,2026-06-11,DISCONNECTED
Joseph Patel,Female,Telangana,Nizamabad,526648,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB000973,2026-06-11,RELEASED
Charlotte Rajan,Male,Andhra Pradesh,Kurnool,605746,ADHAR,JOINT,Commercial,Connection Released,EB000974,2026-06-11,RELEASED
Varun Gupta,Female,Kerala,Thrissur,573277,VOTER_ID,JOINT,Residential,Connection Released,EB000975,2026-06-11,RELEASED
Rohit Miller,Male,Kerala,Kannur,603876,ADHAR,JOINT,Commercial,Connection Released,EB000976,2026-06-11,RELEASED
Deepak Reddy,Male,Andhra Pradesh,Nellore,600468,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB000977,2026-06-11,RELEASED
William Patel,Female,Karnataka,Belagavi,577844,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB000978,2026-06-11,RELEASED
Karthik Patel,Male,Karnataka,Hubballi,548096,PAN,JOINT,Residential,FAILED,EB000979,2026-06-11,PENDING
Thomas Singh,Female,Tamil Nadu,Madurai,515082,ADHAR,JOINT,Residential,CONNECTING,EB000980,2026-06-11,PENDING
Vikram Anderson,Female,Telangana,Khammam,634925,PASSPORT,INDIVIDUAL,Commercial,DISCONNECTED,EB000981,2026-06-11,DISCONNECTED
Varun Singh,Female,Tamil Nadu,Madurai,507837,VOTER_ID,JOINT,Commercial,Connection Released,EB000982,2026-06-11,RELEASED
Manoj Reddy,Female,Andhra Pradesh,Guntur,657622,VOTER_ID,JOINT,Commercial,Connection Released,EB000983,2026-06-11,RELEASED
Rahul Iyer,Female,Telangana,Karimnagar,662014,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB000984,2026-06-11,RELEASED
Ananya Patel,Male,Andhra Pradesh,Guntur,618463,PAN,INDIVIDUAL,Residential,FAILED,EB000985,2026-06-11,PENDING
David Singh,Female,Telangana,Khammam,513888,VOTER_ID,JOINT,Commercial,CONNECTING,EB000986,2026-06-11,PENDING
Arjun Reddy,Male,Andhra Pradesh,Visakhapatnam,666577,PASSPORT,INDIVIDUAL,Residential,CONNECTING,EB000987,2026-06-11,PENDING
Deepak Reddy,Male,Telangana,Hyderabad,568594,PAN,INDIVIDUAL,Residential,Connection Released,EB000988,2026-06-11,RELEASED
Rahul Patel,Male,Telangana,Hyderabad,652302,ADHAR,JOINT,Residential,Connection Released,EB000989,2026-06-11,RELEASED
Rohit Thomas,Male,Karnataka,Bengaluru,543593,VOTER_ID,JOINT,Residential,Connection Released,EB000990,2026-06-11,RELEASED
Harper Iyer,Male,Andhra Pradesh,Vijayawada,545115,ADHAR,JOINT,Residential,Connection Released,EB000991,2026-06-11,RELEASED
Jack Sharma,Male,Karnataka,Hubballi,697251,ADHAR,JOINT,Residential,CONNECTING,EB000992,2026-06-11,PENDING
Thomas Sharma,Male,Andhra Pradesh,Vijayawada,532018,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB000993,2026-06-11,RELEASED
Manoj Johnson,Female,Tamil Nadu,Madurai,651583,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB000994,2026-06-11,RELEASED
Rohit Smith,Female,Tamil Nadu,Salem,519861,PAN,JOINT,Residential,Connection Released,EB000995,2026-06-11,RELEASED
Pooja Anderson,Male,Kerala,Kochi,581402,ADHAR,INDIVIDUAL,Residential,DISCONNECTED,EB000996,2026-06-11,DISCONNECTED
Pooja Kumar,Female,Tamil Nadu,Coimbatore,660256,PASSPORT,JOINT,Commercial,Connection Released,EB000997,2026-06-11,RELEASED
Akash Moore,Male,Andhra Pradesh,Kurnool,566834,ADHAR,INDIVIDUAL,Commercial,DISCONNECTED,EB000998,2026-06-11,DISCONNECTED
Meera Patel,Female,Telangana,Hyderabad,585727,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB000999,2026-06-11,RELEASED
Arjun Iyer,Male,Andhra Pradesh,Nellore,587404,ADHAR,JOINT,Residential,Connection Released,EB001000,2026-06-11,RELEASED
Jack Verma,Male,Andhra Pradesh,Visakhapatnam,538733,ADHAR,JOINT,Commercial,CONNECTING,EB001001,2026-06-11,PENDING
Pooja Singh,Female,Karnataka,Mysuru,663090,VOTER_ID,JOINT,Residential,Connection Released,EB001002,2026-06-11,RELEASED
Manoj Nair,Male,Tamil Nadu,Tirunelveli,625492,PASSPORT,JOINT,Residential,DISCONNECTED,EB001003,2026-06-11,DISCONNECTED
Suresh Smith,Male,Andhra Pradesh,Nellore,584605,PAN,JOINT,Residential,Connection Released,EB001004,2026-06-11,RELEASED
Jack Nair,Female,Tamil Nadu,Chennai,563064,ADHAR,JOINT,Residential,Connection Released,EB001005,2026-06-11,RELEASED
Suresh Davis,Male,Andhra Pradesh,Nellore,639856,ADHAR,INDIVIDUAL,Residential,Connection Released,EB001006,2026-06-11,RELEASED
Emma Thomas,Female,Tamil Nadu,Salem,570208,PASSPORT,JOINT,Residential,Connection Released,EB001007,2026-06-11,RELEASED
Meera Wilson,Female,Tamil Nadu,Chennai,675649,PASSPORT,JOINT,Residential,CONNECTING,EB001008,2026-06-11,PENDING
Priya Davis,Female,Tamil Nadu,Coimbatore,679122,PAN,INDIVIDUAL,Residential,Connection Released,EB001009,2026-06-11,RELEASED
Meera Sharma,Male,Kerala,Thiruvananthapuram,500430,VOTER_ID,JOINT,Residential,Connection Released,EB001010,2026-06-11,RELEASED
Harper Reddy,Female,Tamil Nadu,Chennai,594444,ADHAR,JOINT,Residential,Connection Released,EB001011,2026-06-11,RELEASED
John Verma,Male,Telangana,Khammam,519667,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB001012,2026-06-11,RELEASED
William Iyer,Male,Karnataka,Bengaluru,555012,PASSPORT,JOINT,Residential,DISCONNECTED,EB001013,2026-06-11,DISCONNECTED
Amit Iyer,Female,Andhra Pradesh,Nellore,510063,PASSPORT,JOINT,Residential,Connection Released,EB001014,2026-06-11,RELEASED
Divya Smith,Female,Tamil Nadu,Tirunelveli,633145,VOTER_ID,JOINT,Residential,DISCONNECTED,EB001015,2026-06-11,DISCONNECTED
Ava Moore,Female,Telangana,Karimnagar,533347,PAN,JOINT,Commercial,DISCONNECTED,EB001016,2026-06-11,DISCONNECTED
James Smith,Male,Tamil Nadu,Coimbatore,533050,PAN,INDIVIDUAL,Commercial,Connection Released,EB001017,2026-06-11,RELEASED
Rahul Reddy,Male,Tamil Nadu,Madurai,691611,PAN,JOINT,Residential,CONNECTING,EB001018,2026-06-11,PENDING
Charlotte Iyer,Male,Andhra Pradesh,Guntur,628005,VOTER_ID,JOINT,Residential,CONNECTING,EB001019,2026-06-11,PENDING
Rohit Wilson,Male,Telangana,Khammam,619615,PASSPORT,JOINT,Residential,CONNECTING,EB001020,2026-06-11,PENDING
James Anderson,Male,Kerala,Thiruvananthapuram,533942,ADHAR,JOINT,Residential,Connection Released,EB001021,2026-06-11,RELEASED
Jack Miller,Male,Karnataka,Belagavi,663340,VOTER_ID,INDIVIDUAL,Residential,CONNECTING,EB001022,2026-06-11,PENDING
Daniel Singh,Male,Kerala,Thrissur,693975,PAN,INDIVIDUAL,Commercial,Connection Released,EB001023,2026-06-11,RELEASED
Olivia Johnson,Female,Karnataka,Mysuru,517931,VOTER_ID,JOINT,Commercial,Connection Released,EB001024,2026-06-11,RELEASED
Akash Taylor,Male,Kerala,Thiruvananthapuram,698073,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB001025,2026-06-11,RELEASED
Rohit Wilson,Male,Kerala,Kochi,579703,PASSPORT,INDIVIDUAL,Residential,FAILED,EB001026,2026-06-11,PENDING
Varun Smith,Male,Andhra Pradesh,Vijayawada,547848,VOTER_ID,JOINT,Residential,CONNECTING,EB001027,2026-06-11,PENDING
Rohit Brown,Female,Karnataka,Mangaluru,674599,ADHAR,JOINT,Commercial,Connection Released,EB001028,2026-06-11,RELEASED
Olivia Reddy,Female,Andhra Pradesh,Nellore,639576,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB001029,2026-06-11,RELEASED
David Singh,Male,Karnataka,Belagavi,635219,ADHAR,INDIVIDUAL,Residential,Connection Released,EB001030,2026-06-11,RELEASED
Robert Wilson,Female,Andhra Pradesh,Visakhapatnam,656755,ADHAR,INDIVIDUAL,Residential,Connection Released,EB001031,2026-06-11,RELEASED
Rahul Singh,Female,Kerala,Kannur,638850,ADHAR,INDIVIDUAL,Residential,Connection Released,EB001032,2026-06-11,RELEASED
James Wilson,Male,Tamil Nadu,Tirunelveli,550016,PASSPORT,INDIVIDUAL,Residential,FAILED,EB001033,2026-06-11,PENDING
James Verma,Female,Karnataka,Mangaluru,667097,VOTER_ID,JOINT,Residential,CONNECTING,EB001034,2026-06-11,PENDING
Meera Anderson,Female,Telangana,Warangal,571806,PAN,JOINT,Residential,Connection Released,EB001035,2026-06-11,RELEASED
Rahul Wilson,Male,Andhra Pradesh,Vijayawada,523189,PASSPORT,JOINT,Commercial,DISCONNECTED,EB001036,2026-06-11,DISCONNECTED
Evelyn Nair,Male,Tamil Nadu,Madurai,606577,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB001037,2026-06-11,RELEASED
Divya Moore,Male,Kerala,Kannur,649918,VOTER_ID,JOINT,Residential,Connection Released,EB001038,2026-06-11,RELEASED
Evelyn Anderson,Female,Tamil Nadu,Madurai,557363,PAN,JOINT,Residential,Connection Released,EB001039,2026-06-11,RELEASED
Pooja Johnson,Male,Telangana,Nizamabad,648527,VOTER_ID,INDIVIDUAL,Commercial,CONNECTING,EB001040,2026-06-11,PENDING
Thomas Davis,Male,Telangana,Hyderabad,545467,VOTER_ID,JOINT,Commercial,Connection Released,EB001041,2026-06-11,RELEASED
Meera Kumar,Male,Andhra Pradesh,Guntur,642492,VOTER_ID,JOINT,Residential,Connection Released,EB001042,2026-06-11,RELEASED
Rahul Thomas,Female,Andhra Pradesh,Visakhapatnam,580762,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB001043,2026-06-11,RELEASED
Ananya Brown,Male,Kerala,Thiruvananthapuram,548401,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB001044,2026-06-11,RELEASED
Karthik Gupta,Female,Kerala,Kochi,603260,PAN,JOINT,Residential,CONNECTING,EB001045,2026-06-11,PENDING
Mia Verma,Female,Karnataka,Hubballi,695319,ADHAR,INDIVIDUAL,Residential,Connection Released,EB001046,2026-06-11,RELEASED
Karthik Rajan,Female,Karnataka,Mangaluru,665037,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB001047,2026-06-11,RELEASED
Karthik Gupta,Male,Telangana,Khammam,569113,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB001048,2026-06-11,RELEASED
Abigail Kumar,Female,Tamil Nadu,Chennai,533377,PASSPORT,JOINT,Residential,Connection Released,EB001049,2026-06-11,RELEASED
Thomas Rajan,Female,Telangana,Nizamabad,619584,PAN,INDIVIDUAL,Commercial,Connection Released,EB001050,2026-06-11,RELEASED
Harper Sharma,Female,Andhra Pradesh,Kurnool,605056,VOTER_ID,INDIVIDUAL,Residential,CONNECTING,EB001051,2026-06-11,PENDING
Robert Reddy,Female,Telangana,Karimnagar,579772,ADHAR,JOINT,Commercial,Connection Released,EB001052,2026-06-11,RELEASED
Emma Nair,Male,Kerala,Thrissur,551014,ADHAR,JOINT,Residential,Connection Released,EB001053,2026-06-11,RELEASED
Charlotte Smith,Male,Kerala,Kannur,616399,PASSPORT,JOINT,Commercial,Connection Released,EB001054,2026-06-11,RELEASED
Akash Wilson,Male,Tamil Nadu,Chennai,500499,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB001055,2026-06-11,RELEASED
Michael Wilson,Male,Karnataka,Bengaluru,605192,ADHAR,JOINT,Residential,Connection Released,EB001056,2026-06-11,RELEASED
David Iyer,Female,Telangana,Karimnagar,523015,PAN,JOINT,Commercial,DISCONNECTED,EB001057,2026-06-11,DISCONNECTED
Priya Gupta,Female,Kerala,Thiruvananthapuram,580607,PAN,JOINT,Residential,CONNECTING,EB001058,2026-06-11,PENDING
Rahul Brown,Female,Karnataka,Hubballi,583801,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB001059,2026-06-11,RELEASED
Manoj Verma,Male,Andhra Pradesh,Kurnool,557407,VOTER_ID,JOINT,Commercial,Connection Released,EB001060,2026-06-11,RELEASED
Charlotte Iyer,Male,Telangana,Warangal,511758,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB001061,2026-06-11,RELEASED
Robert Davis,Male,Karnataka,Mangaluru,535169,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB001062,2026-06-11,RELEASED
Vikram Verma,Male,Tamil Nadu,Coimbatore,684494,PAN,INDIVIDUAL,Residential,Connection Released,EB001063,2026-06-11,RELEASED
Rohit Smith,Female,Tamil Nadu,Salem,638002,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB001064,2026-06-11,RELEASED
Joseph Thomas,Male,Telangana,Nizamabad,505878,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB001065,2026-06-11,RELEASED
Arjun Johnson,Male,Kerala,Thiruvananthapuram,616348,PAN,INDIVIDUAL,Residential,Connection Released,EB001066,2026-06-11,RELEASED
Thomas Patel,Female,Telangana,Khammam,584357,ADHAR,JOINT,Residential,FAILED,EB001067,2026-06-11,PENDING
Suresh Reddy,Male,Kerala,Thrissur,644412,ADHAR,INDIVIDUAL,Residential,FAILED,EB001068,2026-06-11,PENDING
Ava Reddy,Female,Karnataka,Hubballi,605841,PASSPORT,JOINT,Residential,Connection Released,EB001069,2026-06-11,RELEASED
Pooja Verma,Female,Telangana,Nizamabad,619220,PAN,INDIVIDUAL,Commercial,Connection Released,EB001070,2026-06-11,RELEASED
Naveen Verma,Male,Andhra Pradesh,Visakhapatnam,558199,PASSPORT,JOINT,Commercial,Connection Released,EB001071,2026-06-11,RELEASED
Deepak Johnson,Female,Karnataka,Hubballi,657172,PAN,INDIVIDUAL,Commercial,UNKNOWN,EB001072,2026-06-11,PENDING
James Patel,Female,Telangana,Warangal,537712,PASSPORT,INDIVIDUAL,Commercial,Connection Released,EB001073,2026-06-11,RELEASED
Rohit Patel,Female,Telangana,Nizamabad,686697,VOTER_ID,JOINT,Residential,Connection Released,EB001074,2026-06-11,RELEASED
Naveen Patel,Female,Karnataka,Mysuru,639343,VOTER_ID,JOINT,Residential,Connection Released,EB001075,2026-06-11,RELEASED
Deepak Nair,Male,Karnataka,Belagavi,636215,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB001076,2026-06-11,RELEASED
Joseph Wilson,Female,Karnataka,Belagavi,580997,PAN,INDIVIDUAL,Residential,CONNECTING,EB001077,2026-06-11,PENDING
Daniel Johnson,Female,Andhra Pradesh,Visakhapatnam,533404,PASSPORT,JOINT,Residential,Connection Released,EB001078,2026-06-11,RELEASED
Deepak Nair,Male,Andhra Pradesh,Nellore,521790,ADHAR,JOINT,Residential,Connection Released,EB001079,2026-06-11,RELEASED
William Davis,Female,Telangana,Khammam,666679,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB001080,2026-06-11,RELEASED
Kavya Smith,Female,Tamil Nadu,Madurai,680600,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB001081,2026-06-11,RELEASED
Divya Singh,Male,Andhra Pradesh,Visakhapatnam,563797,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB001082,2026-06-11,RELEASED
Ananya Patel,Male,Telangana,Nizamabad,686755,VOTER_ID,JOINT,Commercial,Connection Released,EB001083,2026-06-11,RELEASED
Charlotte Patel,Female,Andhra Pradesh,Kurnool,560133,PAN,JOINT,Commercial,Connection Released,EB001084,2026-06-11,RELEASED
Robert Patel,Female,Karnataka,Belagavi,695296,PAN,JOINT,Commercial,Connection Released,EB001085,2026-06-11,RELEASED
Evelyn Brown,Male,Kerala,Kochi,609616,VOTER_ID,JOINT,Residential,Connection Released,EB001086,2026-06-11,RELEASED
David Miller,Male,Karnataka,Bengaluru,634061,PASSPORT,JOINT,Commercial,DISCONNECTED,EB001087,2026-06-11,DISCONNECTED
James Taylor,Male,Tamil Nadu,Tirunelveli,528840,PAN,JOINT,Residential,Connection Released,EB001088,2026-06-11,RELEASED
Sneha Anderson,Female,Karnataka,Mangaluru,664239,PASSPORT,INDIVIDUAL,Residential,CONNECTING,EB001089,2026-06-11,PENDING
Kavya Verma,Male,Kerala,Kozhikode,677423,PAN,JOINT,Commercial,Connection Released,EB001090,2026-06-11,RELEASED
Naveen Miller,Female,Karnataka,Mysuru,522705,PAN,JOINT,Commercial,Connection Released,EB001091,2026-06-11,RELEASED
Michael Johnson,Female,Karnataka,Mysuru,682020,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB001092,2026-06-11,RELEASED
Ananya Thomas,Male,Karnataka,Belagavi,588851,PAN,JOINT,Residential,CONNECTING,EB001093,2026-06-11,PENDING
Joseph Gupta,Male,Andhra Pradesh,Nellore,617058,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB001094,2026-06-11,RELEASED
Varun Anderson,Female,Andhra Pradesh,Nellore,524967,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB001095,2026-06-11,RELEASED
William Nair,Female,Tamil Nadu,Chennai,572539,ADHAR,INDIVIDUAL,Residential,Connection Released,EB001096,2026-06-11,RELEASED
Amit Iyer,Male,Telangana,Khammam,509877,PASSPORT,JOINT,Commercial,Connection Released,EB001097,2026-06-11,RELEASED
Charlotte Patel,Female,Telangana,Karimnagar,679554,PASSPORT,INDIVIDUAL,Residential,Connection Released,EB001098,2026-06-11,RELEASED
Joseph Kumar,Male,Tamil Nadu,Salem,640670,VOTER_ID,JOINT,Residential,DISCONNECTED,EB001099,2026-06-11,DISCONNECTED
Michael Rajan,Male,Tamil Nadu,Madurai,555731,PASSPORT,JOINT,Residential,Connection Released,EB001100,2026-06-11,RELEASED
Michael Davis,Male,Karnataka,Hubballi,626621,PASSPORT,JOINT,Residential,Connection Released,EB001101,2026-06-11,RELEASED
Sophia Miller,Male,Tamil Nadu,Chennai,569687,ADHAR,INDIVIDUAL,Commercial,Connection Released,EB001102,2026-06-11,RELEASED
Kavya Moore,Female,Andhra Pradesh,Visakhapatnam,553567,PAN,INDIVIDUAL,Residential,Connection Released,EB001103,2026-06-11,RELEASED
Olivia Singh,Male,Andhra Pradesh,Nellore,523161,PASSPORT,JOINT,Commercial,Connection Released,EB001104,2026-06-11,RELEASED
Olivia Smith,Female,Tamil Nadu,Tirunelveli,589410,PAN,JOINT,Residential,CONNECTING,EB001105,2026-06-11,PENDING
Abigail Davis,Female,Tamil Nadu,Chennai,565776,VOTER_ID,INDIVIDUAL,Commercial,Connection Released,EB001106,2026-06-11,RELEASED
Rohit Iyer,Female,Andhra Pradesh,Guntur,625888,ADHAR,JOINT,Commercial,Connection Released,EB001107,2026-06-11,RELEASED
Akash Nair,Female,Tamil Nadu,Tirunelveli,591662,VOTER_ID,INDIVIDUAL,Residential,Connection Released,EB001108,2026-06-11,RELEASED
